C:\Users\Public\Documents\Novel Studio\load_data\2025-12-16\20\loadapp_2025-12-16_17-50-18-681.load
Comment s20h crashed 9
	PRU147-L::heel	PRU147-L::mid	PRU147-L::front	PRU147-L		PRU148-R::front	PRU148-R::mid	PRU148-R::heel	PRU148-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
4.960	74.880	49.920	77.440	202.240	4.960	84.280	89.440	215.000	388.720	4.960		
4.970	74.880	49.920	77.440	202.240	4.970	81.700	89.440	212.420	383.560	4.970		
4.980	74.880	49.920	80.000	204.800	4.980	81.700	89.440	209.840	380.980	4.980		
4.990	74.880	49.920	77.440	202.240	4.990	84.280	89.440	209.840	383.560	4.990		
5.000	74.880	49.920	77.440	202.240	5.000	84.280	89.440	207.260	380.980	5.000		
5.010	74.880	49.920	80.000	204.800	5.010	84.280	89.440	204.680	378.400	5.010		
5.020	74.880	49.920	77.440	202.240	5.020	84.280	89.440	204.680	378.400	5.020		
5.030	74.880	49.920	80.000	204.800	5.030	86.860	92.020	204.680	383.560	5.030		
5.040	74.880	49.920	77.440	202.240	5.040	86.860	89.440	202.100	378.400	5.040		
5.050	74.880	49.920	80.000	204.800	5.050	86.860	89.440	199.520	375.820	5.050		
5.060	74.880	49.920	80.000	204.800	5.060	86.860	89.440	199.520	375.820	5.060		
5.070	74.800	49.980	79.900	204.680	5.070	86.860	89.440	199.520	375.820	5.070		
5.080	74.800	52.360	79.900	207.060	5.080	86.860	89.440	196.940	373.240	5.080		
5.090	74.800	52.360	79.900	207.060	5.090	92.020	89.440	196.940	378.400	5.090		
5.100	74.800	52.360	79.900	207.060	5.100	89.910	89.910	196.830	376.650	5.100		
5.110	74.800	52.360	79.900	207.060	5.110	89.910	92.340	196.830	379.080	5.110		
5.120	74.800	49.980	79.900	204.680	5.120	89.910	89.910	196.830	376.650	5.120		
5.130	74.800	49.980	79.900	204.680	5.130	89.910	92.340	196.830	379.080	5.130		
5.140	74.800	49.980	79.900	204.680	5.140	92.340	89.910	196.830	379.080	5.140		
5.150	74.800	52.360	82.280	209.440	5.150	92.340	87.480	196.830	376.650	5.150		
5.160	74.800	52.360	82.280	209.440	5.160	89.910	89.910	196.830	376.650	5.160		
5.170	74.800	52.360	82.280	209.440	5.170	89.910	89.910	196.830	376.650	5.170		
5.180	74.800	52.360	82.280	209.440	5.180	89.910	89.910	199.260	379.080	5.180		
5.190	74.800	49.980	82.280	207.060	5.190	89.910	89.910	199.260	379.080	5.190		
5.200	74.800	49.980	85.000	209.780	5.200	89.910	92.340	199.260	381.510	5.200		
5.210	74.800	52.360	82.280	209.440	5.210	89.910	89.910	199.260	379.080	5.210		
5.220	74.910	52.470	82.500	209.880	5.220	89.910	89.910	202.500	382.320	5.220		
5.230	74.910	49.830	82.500	207.240	5.230	87.480	89.910	199.260	376.650	5.230		
5.240	74.910	52.470	82.500	209.880	5.240	89.910	89.910	202.500	382.320	5.240		
5.250	74.910	49.830	82.500	207.240	5.250	86.700	89.250	202.300	378.250	5.250		
5.260	74.910	49.830	82.500	207.240	5.260	86.700	86.700	202.300	375.700	5.260		
5.270	74.910	49.830	82.500	207.240	5.270	86.700	89.250	204.850	380.800	5.270		
5.280	74.910	49.830	79.860	204.600	5.280	85.000	86.700	204.850	376.550	5.280		
5.290	72.270	49.830	82.500	204.600	5.290	85.000	86.700	207.400	379.100	5.290		
5.300	72.270	49.830	82.500	204.600	5.300	82.450	86.700	207.400	376.550	5.300		
5.310	74.910	52.470	82.500	209.880	5.310	82.450	86.700	207.400	376.550	5.310		
5.320	74.910	52.470	82.500	209.880	5.320	85.000	85.000	207.400	377.400	5.320		
5.330	74.910	52.470	79.860	207.240	5.330	85.000	85.000	207.400	377.400	5.330		
5.340	74.910	49.830	82.500	207.240	5.340	85.000	85.000	207.400	377.400	5.340		
5.350	74.910	49.830	79.860	204.600	5.350	85.000	82.450	207.400	374.850	5.350		
5.360	77.220	49.830	79.860	206.910	5.360	82.450	85.000	209.950	377.400	5.360		
5.370	77.220	49.830	82.500	209.550	5.370	79.900	86.700	212.500	379.100	5.370		
