C:\Users\Public\Documents\Novel Studio\load_data\2025-12-16\20\loadapp_2025-12-16_17-45-08-294.load
Comment s20vw
	PRU147-L::heel	PRU147-L::mid	PRU147-L::front	PRU147-L		PRU148-R::front	PRU148-R::mid	PRU148-R::heel	PRU148-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
5.120	110.000	57.200	62.480	229.680	5.120	64.680	89.880	207.480	362.040	5.120		
5.130	110.000	57.200	62.480	229.680	5.130	64.680	89.880	210.000	364.560	5.130		
5.140	110.000	57.200	62.480	229.680	5.140	64.680	89.880	210.000	364.560	5.140		
5.150	110.000	57.200	62.480	229.680	5.150	67.200	89.880	210.000	367.080	5.150		
5.160	110.000	59.840	62.480	232.320	5.160	64.680	87.360	207.480	359.520	5.160		
5.170	110.000	59.840	62.480	232.320	5.170	64.680	87.360	207.480	359.520	5.170		
5.180	110.000	59.840	62.480	232.320	5.180	64.680	87.360	207.480	359.520	5.180		
5.190	110.000	57.200	64.680	231.880	5.190	64.680	89.880	207.480	362.040	5.190		
5.200	110.000	59.840	62.480	232.320	5.200	64.680	87.360	207.480	359.520	5.200		
5.210	110.000	59.840	62.480	232.320	5.210	67.200	87.360	207.480	362.040	5.210		
5.220	110.000	57.200	62.480	229.680	5.220	64.680	87.360	207.480	359.520	5.220		
5.230	110.000	59.840	62.480	232.320	5.230	64.680	87.360	204.960	357.000	5.230		
5.240	110.000	57.200	62.480	229.680	5.240	67.240	86.920	205.000	359.160	5.240		
5.250	110.000	59.840	64.680	234.520	5.250	67.240	84.460	205.000	356.700	5.250		
5.260	110.000	59.840	62.480	232.320	5.260	67.240	86.920	205.000	359.160	5.260		
5.270	110.000	59.840	64.680	234.520	5.270	67.240	86.920	205.000	359.160	5.270		
5.280	110.000	59.840	62.480	232.320	5.280	67.240	86.920	205.000	359.160	5.280		
5.290	110.000	59.840	64.680	234.520	5.290	67.240	86.920	205.000	359.160	5.290		
5.300	110.000	59.840	62.480	232.320	5.300	64.780	86.920	205.000	356.700	5.300		
5.310	110.000	59.840	64.680	234.520	5.310	67.240	86.920	205.000	359.160	5.310		
5.320	110.000	59.840	62.480	232.320	5.320	67.240	86.920	205.000	359.160	5.320		
5.330	110.000	59.840	64.680	234.520	5.330	67.240	86.920	201.720	355.880	5.330		
