C:\Users\Public\Documents\Novel Studio\load_data\2025-12-16\20\loadapp_2025-12-16_18-07-01-694.load
Comment s20vh crashed 5
	PRU147-L::heel	PRU147-L::mid	PRU147-L::front	PRU147-L		PRU148-R::front	PRU148-R::mid	PRU148-R::heel	PRU148-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
5.240	0.000	0.000	0.000	0.000	5.240	545.000	161.320	0.000	706.320	5.240		
5.250	0.000	0.000	0.000	0.000	5.250	575.510	135.850	0.000	711.360	5.250		
5.260	0.000	0.000	0.000	0.000	5.260	597.740	113.620	0.000	711.360	5.260		
5.270	13.680	0.000	0.000	13.680	5.270	610.090	93.860	0.000	703.950	5.270		
5.280	79.040	0.000	0.000	79.040	5.280	617.500	79.040	0.000	696.540	5.280		
5.290	147.440	0.000	0.000	147.440	5.290	607.620	64.220	0.000	671.840	5.290		
5.300	199.120	1.520	0.000	200.640	5.300	585.390	56.810	0.000	642.200	5.300		
5.310	256.880	4.560	0.000	261.440	5.310	553.280	46.930	0.000	600.210	5.310		
5.320	308.560	9.120	0.000	317.680	5.320	511.290	37.050	0.000	548.340	5.320		
5.330	357.200	16.720	0.000	373.920	5.330	452.010	32.110	0.000	484.120	5.330		
5.340	376.960	24.320	4.560	405.840	5.340	387.790	24.700	0.000	412.490	5.340		
5.350	380.000	39.520	12.160	431.680	5.350	306.280	14.820	0.000	321.100	5.350		
5.360	366.320	59.280	24.320	449.920	5.360	227.240	4.940	0.000	232.180	5.360		
5.370	357.500	77.220	38.610	473.330	5.370	155.610	0.000	0.000	155.610	5.370		
5.380	348.920	91.520	51.480	491.920	5.380	98.800	0.000	0.000	98.800	5.380		
5.390	347.490	104.390	68.640	520.520	5.390	54.340	0.000	0.000	54.340	5.390		
5.400	347.490	114.400	84.370	546.260	5.400	27.500	0.000	0.000	27.500	5.400		
5.410	344.630	124.410	94.380	563.420	5.410	19.910	0.000	0.000	19.910	5.410		
5.420	337.480	134.420	107.250	579.150	5.420	17.490	0.000	0.000	17.490	5.420		
5.430	328.900	141.570	118.690	589.160	5.430	14.960	0.000	0.000	14.960	5.430		
5.440	321.750	148.720	128.700	599.170	5.440	12.430	0.000	0.000	12.430	5.440		
5.450	311.740	154.440	138.710	604.890	5.450	12.430	0.000	0.000	12.430	5.450		
5.460	298.870	157.300	147.290	603.460	5.460	12.430	0.000	0.000	12.430	5.460		
5.470	284.570	158.730	154.440	597.740	5.470	9.900	0.000	0.000	9.900	5.470		
5.480	268.840	158.730	158.730	586.300	5.480	7.480	0.000	0.000	7.480	5.480		
5.490	254.540	161.590	161.590	577.720	5.490	9.900	0.000	0.000	9.900	5.490		
5.500	234.520	158.730	164.450	557.700	5.500	7.480	0.000	0.000	7.480	5.500		
5.510	211.640	158.730	167.310	537.680	5.510	7.480	0.000	0.000	7.480	5.510		
5.520	186.930	157.170	172.050	516.150	5.520	7.480	0.000	0.000	7.480	5.520		
5.530	164.610	154.380	174.840	493.830	5.530	4.950	0.000	0.000	4.950	5.530		
5.540	144.150	151.590	179.490	475.230	5.540	7.480	0.000	0.000	7.480	5.540		
5.550	127.410	146.940	179.490	453.840	5.550	7.500	0.000	0.000	7.500	5.550		
5.560	111.600	142.290	182.280	436.170	5.560	5.000	0.000	0.000	5.000	5.560		
5.570	96.720	136.710	184.140	417.570	5.570	5.000	0.000	0.000	5.000	5.570		
5.580	84.630	134.850	186.930	406.410	5.580	5.000	0.000	0.000	5.000	5.580		
5.590	74.400	132.060	191.580	398.040	5.590	2.500	0.000	0.000	2.500	5.590		
5.600	62.310	127.410	197.160	386.880	5.600	2.500	0.000	0.000	2.500	5.600		
5.610	52.080	121.830	201.810	375.720	5.610	2.500	0.000	0.000	2.500	5.610		
5.620	44.640	117.180	207.390	369.210	5.620	2.500	0.000	0.000	2.500	5.620		
5.630	39.990	111.600	212.040	363.630	5.630	2.500	0.000	0.000	2.500	5.630		
5.640	37.200	109.740	219.480	366.420	5.640	5.000	2.500	0.000	7.500	5.640		
5.650	31.620	109.740	222.270	363.630	5.650	5.000	2.500	0.000	7.500	5.650		
5.660	26.970	106.950	232.500	366.420	5.660	7.500	0.000	0.000	7.500	5.660		
5.670	21.400	107.000	241.820	370.220	5.670	10.000	0.000	0.000	10.000	5.670		
5.680	17.120	107.000	254.660	378.780	5.680	10.000	2.500	0.000	12.500	5.680		
5.690	17.120	107.000	267.500	391.620	5.690	12.500	2.500	0.000	15.000	5.690		
5.700	14.980	109.140	284.620	408.740	5.700	12.480	0.000	0.000	12.480	5.700		
5.710	14.980	111.280	303.880	430.140	5.710	12.480	0.000	0.000	12.480	5.710		
5.720	10.700	111.280	327.420	449.400	5.720	12.480	0.000	0.000	12.480	5.720		
5.730	8.560	111.280	350.960	470.800	5.730	9.840	0.000	0.000	9.840	5.730		
5.740	6.420	109.140	378.780	494.340	5.740	9.840	0.000	0.000	9.840	5.740		
5.750	6.420	107.000	406.600	520.020	5.750	9.840	2.400	0.000	12.240	5.750		
5.760	4.280	100.580	432.280	537.140	5.760	7.440	2.400	0.000	9.840	5.760		
5.770	2.140	94.160	453.680	549.980	5.770	7.440	2.400	0.000	9.840	5.770		
