C:\Users\Public\Documents\Novel Studio\load_data\2025-12-16\20\loadapp_2025-12-16_17-27-12-858.load
Comment s20b
	PRU147-L::heel	PRU147-L::mid	PRU147-L::front	PRU147-L		PRU148-R::front	PRU148-R::mid	PRU148-R::heel	PRU148-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
5.060	22.000	49.500	137.500	209.000	5.060	74.120	77.390	261.600	413.110	5.060		
5.070	22.000	47.300	137.500	206.800	5.070	71.940	77.390	267.050	416.380	5.070		
5.080	19.800	44.550	137.500	201.850	5.080	69.760	77.390	267.050	414.200	5.080		
5.090	19.600	42.000	137.200	198.800	5.090	66.490	74.120	272.500	413.110	5.090		
5.100	17.360	39.760	137.200	194.320	5.100	64.400	74.750	277.150	416.300	5.100		
5.110	17.360	39.760	137.200	194.320	5.110	64.400	74.750	281.750	420.900	5.110		
5.120	17.360	39.760	134.960	192.080	5.120	62.100	72.450	284.050	418.600	5.120		
5.130	19.600	39.760	137.200	196.560	5.130	62.100	74.750	284.050	420.900	5.130		
5.140	19.600	39.760	137.200	196.560	5.140	62.100	72.450	287.500	422.050	5.140		
5.150	19.600	39.760	137.200	196.560	5.150	59.800	72.450	284.050	416.300	5.150		
5.160	19.600	42.000	140.000	201.600	5.160	59.800	69.000	287.500	416.300	5.160		
5.170	19.600	42.000	140.000	201.600	5.170	57.500	69.000	281.750	408.250	5.170		
5.180	22.400	44.800	140.000	207.200	5.180	54.050	66.700	281.750	402.500	5.180		
5.190	22.400	47.040	137.200	206.640	5.190	51.750	64.400	279.450	395.600	5.190		
5.200	24.640	49.840	137.200	211.680	5.200	51.750	64.400	274.850	391.000	5.200		
5.210	29.680	52.080	137.200	218.960	5.210	51.750	62.100	271.400	385.250	5.210		
5.220	34.720	57.120	137.200	229.040	5.220	51.750	62.100	264.500	378.350	5.220		
5.230	42.000	59.920	134.960	236.880	5.230	47.150	59.800	256.450	363.400	5.230		
5.240	52.080	64.480	134.540	251.100	5.240	47.150	57.500	249.550	354.200	5.240		
5.250	57.040	66.960	132.060	256.060	5.250	47.040	54.720	240.000	341.760	5.250		
5.260	64.480	66.960	132.060	263.500	5.260	44.160	51.840	229.440	325.440	5.260		
5.270	69.440	69.440	132.060	270.940	5.270	44.160	49.920	219.840	313.920	5.270		
5.280	77.500	74.400	134.540	286.440	5.280	42.240	47.040	209.280	298.560	5.280		
5.290	79.980	74.400	134.540	288.920	5.290	42.240	44.160	201.600	288.000	5.290		
5.300	84.940	79.980	137.020	301.940	5.300	39.360	44.160	192.000	275.520	5.300		
5.310	87.420	79.980	139.500	306.900	5.310	39.360	42.240	184.320	265.920	5.310		
5.320	89.900	82.460	141.980	314.340	5.320	39.360	39.360	179.520	258.240	5.320		
5.330	89.900	84.940	144.460	319.300	5.330	37.440	39.360	171.840	248.640	5.330		
5.340	92.380	87.420	146.940	326.740	5.340	37.440	37.440	167.040	241.920	5.340		
5.350	94.860	87.420	149.420	331.700	5.350	34.560	37.440	164.160	236.160	5.350		
5.360	97.340	89.900	155.000	342.240	5.360	37.440	37.440	159.360	234.240	5.360		
5.370	99.820	92.380	151.900	344.100	5.370	37.440	34.560	157.440	229.440	5.370		
5.380	102.300	92.380	155.000	349.680	5.380	34.560	34.560	154.560	223.680	5.380		
5.390	104.940	92.400	157.080	354.420	5.390	34.560	31.680	151.680	217.920	5.390		
5.400	106.920	94.380	157.080	358.380	5.400	34.800	34.800	150.000	219.600	5.400		
5.410	109.560	94.380	157.080	361.020	5.410	34.800	32.400	147.000	214.200	5.410		
5.420	112.200	94.380	159.720	366.300	5.420	37.200	32.400	144.600	214.200	5.420		
5.430	114.840	97.020	162.360	374.220	5.430	34.800	30.000	139.800	204.600	5.430		
5.440	117.480	97.020	162.360	376.860	5.440	34.800	27.000	135.000	196.800	5.440		
5.450	122.100	97.020	162.360	381.480	5.450	34.800	30.000	135.000	199.800	5.450		
5.460	124.740	99.660	162.360	386.760	5.460	32.400	30.000	129.600	192.000	5.460		
5.470	127.380	99.660	159.720	386.760	5.470	32.400	27.000	124.800	184.200	5.470		
5.480	129.360	99.660	159.720	388.740	5.480	30.000	27.000	120.000	177.000	5.480		
5.490	132.000	102.300	162.360	396.660	5.490	24.600	24.600	114.600	163.800	5.490		
5.500	132.000	102.300	162.360	396.660	5.500	24.600	24.600	109.800	159.000	5.500		
5.510	134.640	102.300	162.360	399.300	5.510	24.600	27.000	107.400	159.000	5.510		
5.520	134.640	104.940	162.360	401.940	5.520	22.200	22.200	99.600	144.000	5.520		
5.530	137.280	106.920	165.000	409.200	5.530	22.200	22.200	94.800	139.200	5.530		
5.540	137.240	107.160	169.200	413.600	5.540	22.200	19.800	90.000	132.000	5.540		
5.550	137.240	109.980	169.200	416.420	5.550	19.950	19.950	87.500	127.400	5.550		
5.560	137.240	114.680	174.840	426.760	5.560	17.500	19.950	84.700	122.150	5.560		
5.570	134.420	117.500	182.360	434.280	5.570	17.500	14.700	79.800	112.000	5.570		
5.580	129.720	122.200	187.060	438.980	5.580	17.500	17.500	74.900	109.900	5.580		
5.590	126.900	124.080	191.760	442.740	5.590	17.500	17.500	72.450	107.450	5.590		
5.600	122.200	129.720	199.280	451.200	5.600	14.700	14.700	70.000	99.400	5.600		
5.610	117.500	129.720	202.100	449.320	5.610	12.250	12.250	67.200	91.700	5.610		
5.620	109.980	131.600	212.440	454.020	5.620	12.250	12.250	67.200	91.700	5.620		
5.630	104.340	134.420	214.320	453.080	5.630	9.800	14.700	70.000	94.500	5.630		
5.640	102.460	139.120	221.840	463.420	5.640	9.800	12.250	70.000	92.050	5.640		
