C:\Users\Public\Documents\Novel Studio\load_data\2025-12-16\20\loadapp_2025-12-16_18-03-50-910.load
Comment s20h
	PRU147-L::heel	PRU147-L::mid	PRU147-L::front	PRU147-L		PRU148-R::front	PRU148-R::mid	PRU148-R::heel	PRU148-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
5.170	180.830	141.960	114.920	437.710	5.170	0.000	0.000	0.000	0.000	5.170		
5.180	162.240	138.580	119.990	420.810	5.180	0.000	0.000	0.000	0.000	5.180		
5.190	143.650	138.580	123.370	405.600	5.190	0.000	0.000	0.000	0.000	5.190		
5.200	128.440	136.890	126.750	392.080	5.200	0.000	0.000	0.000	0.000	5.200		
5.210	114.400	137.280	132.080	383.760	5.210	0.000	0.000	0.000	0.000	5.210		
5.220	101.920	134.160	137.280	373.360	5.220	0.000	0.000	0.000	0.000	5.220		
5.230	91.520	134.160	142.480	368.160	5.230	0.000	0.000	0.000	0.000	5.230		
5.240	84.240	132.080	146.640	362.960	5.240	0.000	0.000	0.000	0.000	5.240		
5.250	79.040	132.080	154.960	366.080	5.250	0.000	0.000	0.000	0.000	5.250		
5.260	71.760	132.080	159.120	362.960	5.260	0.000	0.000	0.000	0.000	5.260		
5.270	66.560	134.160	167.440	368.160	5.270	2.490	0.000	0.000	2.490	5.270		
5.280	62.400	134.160	174.720	371.280	5.280	2.490	0.000	0.000	2.490	5.280		
5.290	59.280	139.360	182.000	380.640	5.290	2.490	0.000	0.000	2.490	5.290		
5.300	54.080	142.480	189.280	385.840	5.300	4.980	0.000	0.000	4.980	5.300		
5.310	52.000	144.560	199.680	396.240	5.310	4.980	0.000	0.000	4.980	5.310		
5.320	46.800	146.640	212.160	405.600	5.320	7.500	0.000	0.000	7.500	5.320		
5.330	41.600	151.840	224.640	418.080	5.330	4.980	2.490	0.000	7.470	5.330		
5.340	37.440	151.840	242.320	431.600	5.340	4.980	0.000	0.000	4.980	5.340		
5.350	32.240	154.960	260.000	447.200	5.350	4.980	2.490	0.000	7.470	5.350		
5.360	23.210	151.920	284.850	459.980	5.360	2.490	0.000	0.000	2.490	5.360		
5.370	16.880	145.590	303.840	466.310	5.370	2.490	0.000	0.000	2.490	5.370		
5.380	10.550	141.370	331.270	483.190	5.380	2.490	2.490	0.000	4.980	5.380		
5.390	6.330	132.930	356.590	495.850	5.390	2.490	0.000	0.000	2.490	5.390		
5.400	4.220	124.490	381.910	510.620	5.400	3.620	0.000	0.000	3.620	5.400		
5.410	2.110	111.830	411.450	525.390	5.410	1.810	1.810	0.000	3.620	5.410		
5.420	0.000	99.170	440.990	540.160	5.420	3.620	0.000	0.000	3.620	5.420		
5.430	0.000	86.510	468.420	554.930	5.430	3.620	0.000	0.000	3.620	5.430		
5.440	0.000	73.850	493.740	567.590	5.440	3.620	0.000	0.000	3.620	5.440		
5.450	0.000	59.080	514.840	573.920	5.450	1.810	0.000	0.000	1.810	5.450		
5.460	0.000	46.420	523.280	569.700	5.460	0.000	1.810	0.000	1.810	5.460		
5.470	0.000	35.870	527.500	563.370	5.470	0.000	1.810	9.050	10.860	5.470		
5.480	0.000	31.650	521.170	552.820	5.480	0.000	3.620	72.400	76.020	5.480		
5.490	0.000	21.100	510.620	531.720	5.490	0.000	3.620	152.040	155.660	5.490		
5.500	0.000	14.770	483.190	497.960	5.500	0.000	7.240	213.580	220.820	5.500		
5.510	0.000	7.120	445.000	452.120	5.510	0.000	9.050	282.360	291.410	5.510		
5.520	0.000	3.560	393.380	396.940	5.520	1.810	14.480	354.760	371.050	5.520		
5.530	0.000	1.780	339.980	341.760	5.530	7.240	19.910	407.250	434.400	5.530		
5.540	0.000	0.000	275.900	275.900	5.540	10.860	27.150	452.500	490.510	5.540		
5.550	0.000	0.000	208.260	208.260	5.550	15.890	36.320	483.510	535.720	5.550		
5.560	0.000	0.000	145.960	145.960	5.560	24.970	54.480	508.480	587.930	5.560		
5.570	0.000	0.000	87.220	87.220	5.570	34.050	68.100	519.830	621.980	5.570		
5.580	0.000	0.000	40.940	40.940	5.580	43.130	81.720	526.640	651.490	5.580		
5.590	0.000	0.000	7.120	7.120	5.590	54.480	90.800	535.720	681.000	5.590		
5.600	0.000	0.000	0.000	0.000	5.600	61.290	102.150	549.340	712.780	5.600		
5.610	1.780	0.000	0.000	1.780	5.610	70.370	108.960	556.150	735.480	5.610		
5.620	0.000	0.000	0.000	0.000	5.620	81.720	115.770	567.500	764.990	5.620		
5.630	0.000	0.000	0.000	0.000	5.630	90.800	120.310	567.500	778.610	5.630		
5.640	0.000	0.000	0.000	0.000	5.640	102.150	127.120	556.150	785.420	5.640		
5.650	0.000	0.000	0.000	0.000	5.650	106.690	129.390	547.070	783.150	5.650		
5.660	0.000	0.000	0.000	0.000	5.660	113.500	131.660	528.910	774.070	5.660		
5.670	0.000	0.000	0.000	0.000	5.670	115.770	131.660	510.750	758.180	5.670		
5.680	0.000	0.000	0.000	0.000	5.680	120.310	129.390	488.050	737.750	5.680		
5.690	0.000	0.000	0.000	0.000	5.690	127.120	127.120	460.810	715.050	5.690		
5.700	0.000	0.000	0.000	0.000	5.700	132.440	123.840	430.000	686.280	5.700		
5.710	0.000	0.000	0.000	0.000	5.710	134.160	116.960	392.160	643.280	5.710		
5.720	0.000	0.000	0.000	0.000	5.720	139.320	113.520	356.040	608.880	5.720		
