C:\Users\Public\Documents\Novel Studio\load_data\2025-12-11\7\loadapp_2025-12-11_11-04-53-633.load
Comment s7 vh crashed
	-R::front	-R::mid	-R::heel	-R		PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
2.200	136.800	119.320	190.000	446.120	2.200	81.900	159.900	146.900	388.700	2.200		
2.210	134.520	119.320	190.000	443.840	2.210	84.500	159.900	146.900	391.300	2.210		
2.220	134.520	122.360	190.000	446.880	2.220	84.500	162.500	146.900	393.900	2.220		
2.230	134.520	119.320	190.000	443.840	2.230	84.500	162.500	146.900	393.900	2.230		
2.240	136.800	119.320	190.000	446.120	2.240	84.500	159.900	146.900	391.300	2.240		
2.250	136.800	122.360	186.960	446.120	2.250	84.500	159.900	144.950	389.350	2.250		
2.260	136.800	119.320	186.960	443.080	2.260	84.500	159.900	146.900	391.300	2.260		
2.270	136.800	119.320	184.680	440.800	2.270	84.500	159.900	144.950	389.350	2.270		
2.280	136.800	119.320	184.680	440.800	2.280	84.500	159.900	144.950	389.350	2.280		
2.290	136.800	122.360	184.680	443.840	2.290	84.500	159.900	144.950	389.350	2.290		
2.300	139.840	122.360	184.680	446.880	2.300	84.500	159.900	144.950	389.350	2.300		
2.310	139.840	122.360	182.400	444.600	2.310	87.100	159.900	146.900	393.900	2.310		
2.320	139.840	122.360	182.400	444.600	2.320	84.500	159.900	144.950	389.350	2.320		
2.330	139.840	122.360	182.400	444.600	2.330	87.100	159.900	146.900	393.900	2.330		
2.340	142.120	122.360	179.360	443.840	2.340	87.100	159.900	144.950	391.950	2.340		
2.350	142.120	122.360	179.360	443.840	2.350	87.100	159.900	146.900	393.900	2.350		
2.360	141.840	122.400	180.000	444.240	2.360	87.100	162.500	146.900	396.500	2.360		
2.370	141.840	122.400	177.120	441.360	2.370	87.100	162.500	149.500	399.100	2.370		
2.380	144.720	122.400	177.120	444.240	2.380	87.100	162.500	149.500	399.100	2.380		
2.390	144.720	122.400	174.960	442.080	2.390	87.100	162.500	146.900	396.500	2.390		
2.400	144.720	122.400	172.080	439.200	2.400	87.120	162.360	147.180	396.660	2.400		
2.410	144.720	122.400	172.080	439.200	2.410	87.120	165.000	147.180	399.300	2.410		
2.420	146.880	122.400	169.920	439.200	2.420	87.120	162.360	147.180	396.660	2.420		
2.430	144.720	122.400	169.920	437.040	2.430	87.120	162.360	147.180	396.660	2.430		
2.440	146.880	122.400	169.920	439.200	2.440	89.760	162.360	147.180	399.300	2.440		
2.450	146.880	122.400	169.920	439.200	2.450	89.760	162.360	144.540	396.660	2.450		
2.460	146.880	119.520	169.920	436.320	2.460	89.760	165.000	144.540	399.300	2.460		
2.470	144.720	122.400	167.040	434.160	2.470	89.760	165.000	147.180	401.940	2.470		
2.480	144.720	119.520	167.040	431.280	2.480	92.400	165.000	144.540	401.940	2.480		
2.490	144.720	122.400	167.040	434.160	2.490	92.400	165.000	144.540	401.940	2.490		
2.500	144.720	122.400	167.040	434.160	2.500	92.400	165.000	144.540	401.940	2.500		
2.510	147.400	121.940	167.500	436.840	2.510	92.400	165.000	147.180	404.580	2.510		
2.520	147.400	121.940	167.500	436.840	2.520	92.400	165.000	144.540	401.940	2.520		
2.530	147.400	121.940	167.500	436.840	2.530	92.400	165.000	144.540	401.940	2.530		
2.540	147.400	119.930	167.500	434.830	2.540	92.400	165.000	144.540	401.940	2.540		
2.550	147.400	121.940	167.500	436.840	2.550	92.460	164.820	149.410	406.690	2.550		
2.560	144.720	119.930	167.500	432.150	2.560	92.460	164.820	147.400	404.680	2.560		
2.570	147.400	119.930	167.500	434.830	2.570	92.460	164.820	147.400	404.680	2.570		
2.580	144.720	119.930	167.500	432.150	2.580	92.460	167.500	147.400	407.360	2.580		
2.590	147.400	119.930	167.500	434.830	2.590	92.460	167.500	147.400	407.360	2.590		
2.600	144.720	119.930	167.500	432.150	2.600	94.470	167.500	149.410	411.380	2.600		
2.610	144.720	119.930	167.500	432.150	2.610	92.460	167.500	147.400	407.360	2.610		
2.620	144.720	119.930	167.500	432.150	2.620	94.470	167.500	147.400	409.370	2.620		
2.630	144.720	119.930	167.500	432.150	2.630	94.470	167.500	149.410	411.380	2.630		
2.640	147.400	119.930	164.820	432.150	2.640	94.470	167.500	147.400	409.370	2.640		
2.650	144.720	119.930	164.820	429.470	2.650	92.460	167.500	147.400	407.360	2.650		
2.660	144.540	117.480	165.000	427.020	2.660	94.470	167.500	147.400	409.370	2.660		
2.670	141.900	117.480	165.000	424.380	2.670	94.470	167.500	147.400	409.370	2.670		
2.680	144.540	117.480	165.000	427.020	2.680	94.470	167.500	149.410	411.380	2.680		
2.690	144.540	119.460	162.360	426.360	2.690	94.470	167.500	149.410	411.380	2.690		
2.700	144.540	117.480	162.360	424.380	2.700	97.290	166.980	146.970	411.240	2.700		
2.710	144.540	117.480	162.360	424.380	2.710	94.530	169.740	149.730	414.000	2.710		
2.720	144.540	117.480	162.360	424.380	2.720	94.530	166.980	146.970	408.480	2.720		
2.730	144.540	117.480	162.360	424.380	2.730	97.290	166.980	149.730	414.000	2.730		
2.740	144.540	117.480	159.720	421.740	2.740	97.290	169.740	146.970	414.000	2.740		
2.750	141.900	114.840	159.720	416.460	2.750	97.290	169.740	149.730	416.760	2.750		
2.760	144.540	114.840	162.360	421.740	2.760	97.290	169.740	146.970	414.000	2.760		
2.770	141.900	114.840	162.360	419.100	2.770	97.290	169.740	146.970	414.000	2.770		
2.780	141.900	117.480	162.360	421.740	2.780	97.290	169.740	149.730	416.760	2.780		
2.790	141.900	117.480	162.360	421.740	2.790	97.290	169.740	149.730	416.760	2.790		
2.800	141.900	117.480	162.360	421.740	2.800	97.290	172.500	149.730	419.520	2.800		
2.810	141.900	117.480	162.360	421.740	2.810	97.290	172.500	149.730	419.520	2.810		
2.820	141.900	117.480	162.360	421.740	2.820	97.290	169.740	149.730	416.760	2.820		
2.830	139.920	117.480	165.000	422.400	2.830	97.290	172.500	152.490	422.280	2.830		
2.840	139.920	117.480	162.360	419.760	2.840	97.290	172.500	152.490	422.280	2.840		
2.850	139.920	114.840	162.360	417.120	2.850	97.270	171.820	151.940	421.030	2.850		
2.860	137.280	117.480	162.360	417.120	2.860	97.270	171.820	151.940	421.030	2.860		
2.870	137.280	114.840	162.360	414.480	2.870	97.270	174.660	154.780	426.710	2.870		
2.880	137.280	114.840	162.360	414.480	2.880	97.270	171.820	151.940	421.030	2.880		
2.890	137.280	114.840	162.360	414.480	2.890	97.270	174.660	154.780	426.710	2.890		
2.900	134.640	112.200	162.360	409.200	2.900	97.270	174.660	154.780	426.710	2.900		
2.910	134.640	114.840	162.360	411.840	2.910	97.270	171.820	154.780	423.870	2.910		
2.920	134.640	112.200	162.360	409.200	2.920	97.270	171.820	151.940	421.030	2.920		
2.930	134.640	112.200	162.360	409.200	2.930	97.270	174.660	154.780	426.710	2.930		
2.940	134.640	112.200	165.000	411.840	2.940	99.400	174.660	154.780	428.840	2.940		
2.950	132.000	109.560	165.000	406.560	2.950	99.400	174.660	156.910	430.970	2.950		
2.960	132.000	109.560	165.000	406.560	2.960	99.400	177.500	156.910	433.810	2.960		
2.970	129.360	109.560	165.000	403.920	2.970	99.400	177.500	156.910	433.810	2.970		
2.980	127.380	106.920	162.360	396.660	2.980	102.240	177.500	156.910	436.650	2.980		
2.990	127.380	106.920	165.000	399.300	2.990	102.240	177.500	156.910	436.650	2.990		
3.000	127.380	104.940	165.000	397.320	3.000	104.490	179.820	157.140	441.450	3.000		
3.010	122.100	102.300	162.360	386.760	3.010	104.490	182.250	159.570	446.310	3.010		
3.020	122.100	102.300	162.360	386.760	3.020	106.920	182.250	159.570	448.740	3.020		
3.030	122.100	99.660	159.720	381.480	3.030	109.350	184.680	159.570	453.600	3.030		
3.040	119.460	97.020	157.080	373.560	3.040	109.350	184.680	162.000	456.030	3.040		
3.050	117.480	94.380	154.440	366.300	3.050	111.780	187.110	162.000	460.890	3.050		
3.060	117.480	94.380	154.440	366.300	3.060	114.210	189.540	162.000	465.750	3.060		
3.070	117.480	92.400	152.460	362.340	3.070	117.450	189.540	162.000	468.990	3.070		
3.080	114.840	89.760	149.820	354.420	3.080	119.880	194.400	164.430	478.710	3.080		
3.090	112.200	87.120	147.180	346.500	3.090	122.310	194.400	162.000	478.710	3.090		
3.100	112.200	87.120	147.180	346.500	3.100	122.310	196.830	164.430	483.570	3.100		
3.110	109.740	84.960	147.500	342.200	3.110	124.740	196.830	162.000	483.570	3.110		
3.120	109.740	82.010	144.550	336.300	3.120	127.170	199.260	166.860	493.290	3.120		
3.130	107.380	82.010	142.190	331.580	3.130	129.600	202.500	164.430	496.530	3.130		
3.140	107.380	79.650	139.830	326.860	3.140	129.600	202.500	164.430	496.530	3.140		
3.150	104.430	79.650	139.830	323.910	3.150	131.970	201.690	164.340	498.000	3.150		
3.160	104.430	77.290	137.470	319.190	3.160	134.460	204.180	166.830	505.470	3.160		
3.170	102.070	77.290	137.470	316.830	3.170	134.460	204.180	164.340	502.980	3.170		
3.180	104.430	79.650	134.520	318.600	3.180	136.950	204.180	164.340	505.470	3.180		
3.190	102.070	77.290	132.160	311.520	3.190	136.950	207.500	164.340	508.790	3.190		
3.200	99.710	77.290	132.160	309.160	3.200	136.950	207.500	164.340	508.790	3.200		
3.210	102.070	79.650	132.160	313.880	3.210	136.950	207.500	164.340	508.790	3.210		
3.220	102.070	79.650	132.160	313.880	3.220	136.950	207.500	164.340	508.790	3.220		
3.230	102.070	82.010	132.160	316.240	3.230	136.950	207.500	166.830	511.280	3.230		
3.240	104.430	82.010	132.160	318.600	3.240	136.950	207.500	164.340	508.790	3.240		
3.250	104.430	82.010	129.800	316.240	3.250	136.950	204.180	164.340	505.470	3.250		
3.260	104.760	82.080	129.600	316.440	3.260	139.440	204.180	164.340	507.960	3.260		
3.270	104.760	84.780	132.300	321.840	3.270	136.950	204.180	164.340	505.470	3.270		
3.280	104.760	84.780	129.600	319.140	3.280	136.950	201.690	164.340	502.980	3.280		
3.290	107.460	84.780	129.600	321.840	3.290	136.950	201.690	164.340	502.980	3.290		
3.300	107.460	87.480	132.300	327.240	3.300	134.400	200.000	164.800	499.200	3.300		
3.310	109.620	87.480	132.300	329.400	3.310	132.000	200.000	162.400	494.400	3.310		
3.320	112.320	89.640	132.300	334.260	3.320	132.000	196.800	164.800	493.600	3.320		
3.330	112.320	92.340	132.300	336.960	3.330	129.600	196.800	162.400	488.800	3.330		
3.340	114.480	94.500	132.300	341.280	3.340	127.200	194.400	162.400	484.000	3.340		
3.350	119.880	94.500	132.300	346.680	3.350	127.200	192.000	162.400	481.600	3.350		
3.360	122.040	99.900	132.300	354.240	3.360	124.800	189.600	160.000	474.400	3.360		
3.370	124.740	99.900	132.300	356.940	3.370	122.400	187.200	160.000	469.600	3.370		
3.380	127.440	102.060	132.300	361.800	3.380	122.400	184.800	156.800	464.000	3.380		
3.390	129.600	107.460	135.000	372.060	3.390	120.000	182.400	156.800	459.200	3.390		
3.400	132.300	107.460	135.000	374.760	3.400	120.000	180.000	156.800	456.800	3.400		
3.410	134.640	109.440	134.640	378.720	3.410	114.400	176.800	154.400	445.600	3.410		
3.420	136.800	112.320	136.800	385.920	3.420	114.400	174.400	154.400	443.200	3.420		
3.430	141.840	114.480	136.800	393.120	3.430	112.000	172.000	149.600	433.600	3.430		
3.440	144.720	119.520	136.800	401.040	3.440	109.600	169.600	152.000	431.200	3.440		
3.450	149.760	122.400	139.680	411.840	3.450	107.200	167.500	149.410	424.110	3.450		
3.460	151.920	124.560	141.840	418.320	3.460	104.520	162.140	149.410	416.070	3.460		
3.470	156.960	129.600	141.840	428.400	3.470	99.830	159.460	144.720	404.010	3.470		
3.480	159.840	132.480	144.720	437.040	3.480	97.150	157.450	144.720	399.320	3.480		
3.490	164.880	136.800	146.880	448.560	3.490	92.460	152.090	144.720	389.270	3.490		
3.500	167.040	141.840	151.920	460.800	3.500	89.780	147.400	142.040	379.220	3.500		
3.510	169.920	144.720	154.800	469.440	3.510	84.420	142.040	137.350	363.810	3.510		
3.520	172.080	149.760	159.840	481.680	3.520	79.730	137.350	137.350	354.430	3.520		
3.530	174.960	154.800	164.880	494.640	3.530	74.370	131.990	134.670	341.030	3.530		
3.540	177.120	159.840	169.920	506.880	3.540	69.680	124.620	131.990	326.290	3.540		
3.550	180.000	164.880	174.960	519.840	3.550	67.000	119.930	127.300	314.230	3.550		
3.560	181.650	169.050	179.550	530.250	3.560	59.630	111.890	124.620	296.140	3.560		
3.570	184.800	177.450	186.900	549.150	3.570	54.940	107.200	119.930	282.070	3.570		
3.580	192.150	181.650	189.000	562.800	3.580	46.900	99.830	114.570	261.300	3.580		
3.590	194.250	189.000	194.250	577.500	3.590	42.210	94.470	107.200	243.880	3.590		
3.600	199.500	197.400	199.500	596.400	3.600	34.710	84.630	97.500	216.840	3.600		
3.610	204.750	201.600	201.600	607.950	3.610	29.640	77.220	92.430	199.290	3.610		
3.620	212.100	210.000	204.750	626.850	3.620	24.960	69.810	84.630	179.400	3.620		
3.630	217.350	214.200	210.000	641.550	3.630	19.890	62.400	77.220	159.510	3.630		
3.640	224.700	221.550	210.000	656.250	3.640	14.820	57.330	74.880	147.030	3.640		
3.650	226.800	226.800	212.100	665.700	3.650	9.750	49.920	69.810	129.480	3.650		
3.660	234.150	234.150	214.200	682.500	3.660	7.410	44.850	64.740	117.000	3.660		
3.670	241.500	241.500	214.200	697.200	3.670	4.680	39.780	62.400	106.860	3.670		
3.680	246.750	244.650	214.200	705.600	3.680	2.340	34.710	54.990	92.040	3.680		
3.690	254.100	252.000	214.200	720.300	3.690	2.340	32.370	49.920	84.630	3.690		
3.700	262.500	254.100	212.100	728.700	3.700	2.340	24.960	44.850	72.150	3.700		
3.710	269.010	258.720	211.680	739.410	3.710	2.340	19.890	39.780	62.010	3.710		
3.720	274.890	261.660	207.270	743.820	3.720	0.000	17.160	34.710	51.870	3.720		
3.730	282.240	266.070	204.330	752.640	3.730	0.000	14.820	34.710	49.530	3.730		
3.740	289.590	269.010	199.920	758.520	3.740	0.000	14.820	32.370	47.190	3.740		
3.750	294.000	271.950	199.920	765.870	3.750	0.000	12.500	25.000	37.500	3.750		
3.760	301.350	274.890	196.980	773.220	3.760	0.000	12.500	22.500	35.000	3.760		
3.770	308.700	279.300	194.040	782.040	3.770	0.000	12.500	17.500	30.000	3.770		
3.780	314.580	282.240	194.040	790.860	3.780	0.000	12.500	15.000	27.500	3.780		
3.790	321.930	286.650	189.630	798.210	3.790	0.000	12.500	15.000	27.500	3.790		
3.800	332.220	289.590	183.750	805.560	3.800	0.000	12.500	15.000	27.500	3.800		
3.810	339.570	291.060	179.340	809.970	3.810	0.000	12.500	12.500	25.000	3.810		
3.820	346.920	294.000	171.990	812.910	3.820	0.000	12.500	10.000	22.500	3.820		
3.830	351.330	291.060	166.110	808.500	3.830	0.000	12.500	10.000	22.500	3.830		
3.840	358.680	291.060	158.760	808.500	3.840	0.000	12.500	10.000	22.500	3.840		
3.850	367.500	291.060	151.410	809.970	3.850	0.000	12.500	7.500	20.000	3.850		
3.860	374.000	292.400	149.600	816.000	3.860	0.000	12.500	7.500	20.000	3.860		
3.870	379.100	292.400	146.200	817.700	3.870	0.000	10.000	5.000	15.000	3.870		
3.880	382.500	292.400	144.500	819.400	3.880	0.000	10.000	5.000	15.000	3.880		
3.890	385.900	294.100	144.500	824.500	3.890	0.000	12.500	5.000	17.500	3.890		
3.900	391.000	299.200	144.500	834.700	3.900	0.000	12.500	5.000	17.500	3.900		
3.910	399.500	300.900	144.500	844.900	3.910	0.000	12.500	5.000	17.500	3.910		
3.920	404.600	300.900	141.100	846.600	3.920	0.000	12.500	2.500	15.000	3.920		
3.930	409.700	304.300	141.100	855.100	3.930	0.000	12.500	2.500	15.000	3.930		
3.940	411.400	304.300	141.100	856.800	3.940	0.000	12.500	2.500	15.000	3.940		
3.950	414.800	304.300	139.400	858.500	3.950	0.000	12.500	2.500	15.000	3.950		
3.960	419.900	304.300	139.400	863.600	3.960	0.000	12.500	5.000	17.500	3.960		
3.970	421.600	306.000	139.400	867.000	3.970	0.000	12.500	2.500	15.000	3.970		
3.980	421.600	306.000	136.000	863.600	3.980	0.000	12.500	5.000	17.500	3.980		
3.990	425.000	306.000	139.400	870.400	3.990	0.000	12.500	2.500	15.000	3.990		
4.000	425.000	306.000	139.400	870.400	4.000	0.000	12.500	2.500	15.000	4.000		
4.010	427.500	306.090	138.510	872.100	4.010	0.000	12.500	2.500	15.000	4.010		
