C:\Users\Public\Documents\Novel Studio\load_data\2025-12-11\7\loadapp_2025-12-11_11-11-22-632.load
Comment s7 w
	-R::front	-R::mid	-R::heel	-R		PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
3.840	239.590	149.380	74.690	463.660	3.840	32.300	124.950	209.950	367.200	3.840		
3.850	239.590	149.380	71.780	460.750	3.850	32.300	122.400	209.950	364.650	3.850		
3.860	242.500	149.380	71.780	463.660	3.860	32.300	124.950	209.950	367.200	3.860		
3.870	242.500	149.380	71.780	463.660	3.870	32.300	124.950	209.950	367.200	3.870		
3.880	242.500	149.380	71.780	463.660	3.880	32.300	122.400	207.400	362.100	3.880		
3.890	242.500	149.380	71.780	463.660	3.890	32.300	124.950	207.400	364.650	3.890		
3.900	244.530	149.490	72.270	466.290	3.900	31.920	121.800	207.480	361.200	3.900		
3.910	244.530	152.460	72.270	469.260	3.910	31.920	121.800	207.480	361.200	3.910		
3.920	244.530	149.490	72.270	466.290	3.920	31.920	121.800	210.000	363.720	3.920		
3.930	244.530	152.460	72.270	469.260	3.930	31.920	121.800	207.480	361.200	3.930		
3.940	244.530	152.460	72.270	469.260	3.940	31.920	121.800	207.480	361.200	3.940		
3.950	244.530	152.460	74.250	471.240	3.950	31.920	121.800	207.480	361.200	3.950		
3.960	241.560	152.460	72.270	466.290	3.960	31.920	121.800	207.480	361.200	3.960		
3.970	244.530	152.460	72.270	469.260	3.970	31.920	119.280	204.960	356.160	3.970		
3.980	244.530	152.460	74.250	471.240	3.980	31.920	121.800	207.480	361.200	3.980		
3.990	244.530	152.460	74.250	471.240	3.990	31.920	119.280	204.960	356.160	3.990		
4.000	244.530	154.440	74.250	473.220	4.000	31.920	119.280	204.960	356.160	4.000		
4.010	247.500	154.440	74.250	476.190	4.010	31.920	119.280	204.960	356.160	4.010		
4.020	247.500	152.460	72.270	472.230	4.020	31.920	119.280	207.480	358.680	4.020		
4.030	247.500	154.440	74.250	476.190	4.030	31.920	119.280	202.440	353.640	4.030		
4.040	247.500	154.440	74.250	476.190	4.040	31.920	119.280	204.960	356.160	4.040		
4.050	249.260	156.560	74.160	479.980	4.050	31.980	119.720	205.000	356.700	4.050		
4.060	247.200	154.500	74.160	475.860	4.060	31.980	117.260	205.000	354.240	4.060		
4.070	249.260	154.500	74.160	477.920	4.070	31.980	119.720	201.720	353.420	4.070		
4.080	249.260	154.500	74.160	477.920	4.080	31.980	117.260	201.720	350.960	4.080		
4.090	249.260	154.500	74.160	477.920	4.090	29.520	117.260	205.000	351.780	4.090		
4.100	252.350	156.560	74.160	483.070	4.100	31.980	117.260	201.720	350.960	4.100		
4.110	252.350	154.500	74.160	481.010	4.110	29.520	117.260	201.720	348.500	4.110		
4.120	252.350	156.560	74.160	483.070	4.120	31.980	117.260	205.000	354.240	4.120		
4.130	252.350	156.560	72.100	481.010	4.130	29.520	114.800	205.000	349.320	4.130		
4.140	252.350	156.560	72.100	481.010	4.140	29.520	114.800	201.720	346.040	4.140		
4.150	254.410	156.560	72.100	483.070	4.150	29.520	117.260	201.720	348.500	4.150		
4.160	254.410	156.560	72.100	483.070	4.160	29.520	114.800	205.000	349.320	4.160		
4.170	254.410	156.560	69.010	479.980	4.170	29.520	112.340	201.720	343.580	4.170		
4.180	257.500	156.560	72.100	486.160	4.180	29.520	114.800	201.720	346.040	4.180		
4.190	257.500	156.560	69.010	483.070	4.190	29.520	112.340	201.720	343.580	4.190		
4.200	259.600	157.300	69.300	486.200	4.200	29.970	111.780	199.260	341.010	4.200		
4.210	257.400	157.300	69.300	484.000	4.210	26.730	111.780	199.260	337.770	4.210		
4.220	259.600	159.500	69.300	488.400	4.220	26.730	111.780	202.500	341.010	4.220		
4.230	261.800	159.500	67.100	488.400	4.230	26.730	111.780	202.500	341.010	4.230		
4.240	264.000	161.700	67.100	492.800	4.240	26.730	109.350	202.500	338.580	4.240		
4.250	264.000	161.700	67.100	492.800	4.250	26.730	109.350	199.260	335.340	4.250		
4.260	267.300	161.700	67.100	496.100	4.260	26.730	106.920	199.260	332.910	4.260		
