C:\Users\Public\Documents\Novel Studio\load_data\2025-12-11\7\loadapp_2025-12-11_11-01-42-928.load
Comment s7vw
	-R::front	-R::mid	-R::heel	-R		PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
5.460	79.800	132.300	447.300	659.400	5.460	0.000	0.000	310.000	310.000	5.460		
5.470	88.200	144.900	464.100	697.200	5.470	0.000	0.000	242.500	242.500	5.470		
5.480	96.600	157.500	478.800	732.900	5.480	0.000	0.000	177.500	177.500	5.480		
5.490	107.100	165.900	495.600	768.600	5.490	0.000	0.000	130.000	130.000	5.490		
5.500	115.500	178.500	512.400	806.400	5.500	0.000	0.000	90.000	90.000	5.500		
5.510	123.900	191.100	525.000	840.000	5.510	0.000	0.000	65.000	65.000	5.510		
5.520	131.150	204.250	533.200	868.600	5.520	0.000	2.500	47.500	50.000	5.520		
5.530	141.900	215.000	537.500	894.400	5.530	0.000	5.000	32.500	37.500	5.530		
5.540	146.200	219.300	533.200	898.700	5.540	2.500	5.000	20.000	27.500	5.540		
5.550	154.800	225.750	528.900	909.450	5.550	0.000	4.980	15.000	19.980	5.550		
5.560	159.100	234.350	524.600	918.050	5.560	0.000	4.980	12.480	17.460	5.560		
5.570	163.400	238.650	522.450	924.500	5.570	0.000	4.980	12.480	17.460	5.570		
5.580	163.400	247.250	516.000	926.650	5.580	2.460	4.980	12.480	19.920	5.580		
5.590	165.550	247.250	507.400	920.200	5.590	0.000	2.460	9.960	12.420	5.590		
5.600	165.550	247.250	492.350	905.150	5.600	0.000	4.980	9.960	14.940	5.600		
5.610	165.550	242.950	477.300	885.800	5.610	0.000	2.460	9.960	12.420	5.610		
5.620	165.550	240.800	455.800	862.150	5.620	2.460	4.980	7.500	14.940	5.620		
5.630	165.550	238.650	436.450	840.650	5.630	0.000	2.460	4.980	7.440	5.630		
5.640	165.550	238.650	417.100	821.300	5.640	0.000	4.980	7.500	12.480	5.640		
5.650	163.400	236.500	395.600	795.500	5.650	0.000	2.460	4.980	7.440	5.650		
5.660	163.400	236.500	378.400	778.300	5.660	0.000	2.460	4.980	7.440	5.660		
5.670	164.160	236.160	360.000	760.320	5.670	0.000	2.460	4.980	7.440	5.670		
5.680	167.040	236.160	347.040	750.240	5.680	0.000	4.980	4.980	9.960	5.680		
5.690	167.040	239.040	334.080	740.160	5.690	2.460	2.460	2.460	7.380	5.690		
5.700	171.360	241.920	324.000	737.280	5.700	0.000	2.500	2.500	5.000	5.700		
5.710	174.240	244.800	312.480	731.520	5.710	0.000	2.500	2.500	5.000	5.710		
5.720	181.440	249.120	302.400	732.960	5.720	0.000	2.500	2.500	5.000	5.720		
5.730	187.200	252.000	293.760	732.960	5.730	0.000	5.000	2.500	7.500	5.730		
5.740	191.520	256.320	286.560	734.400	5.740	0.000	2.500	2.500	5.000	5.740		
5.750	198.720	262.080	279.360	740.160	5.750	0.000	2.500	2.500	5.000	5.750		
5.760	207.360	266.400	276.480	750.240	5.760	0.000	2.500	2.500	5.000	5.760		
5.770	208.800	272.160	276.480	757.440	5.770	0.000	2.500	0.000	2.500	5.770		
5.780	214.560	273.600	276.480	764.640	5.780	0.000	2.500	0.000	2.500	5.780		
5.790	218.880	279.360	276.480	774.720	5.790	0.000	2.500	0.000	2.500	5.790		
5.800	224.640	283.680	276.480	784.800	5.800	0.000	2.500	0.000	2.500	5.800		
5.810	228.960	289.440	273.600	792.000	5.810	0.000	2.500	0.000	2.500	5.810		
5.820	239.080	294.120	271.760	804.960	5.820	0.000	2.500	0.000	2.500	5.820		
5.830	245.960	299.280	266.600	811.840	5.830	0.000	2.500	0.000	2.500	5.830		
5.840	254.560	304.440	261.440	820.440	5.840	0.000	2.500	0.000	2.500	5.840		
5.850	261.440	311.320	254.560	827.320	5.850	0.000	2.350	0.000	2.350	5.850		
5.860	268.320	314.760	245.960	829.040	5.860	0.000	2.350	0.000	2.350	5.860		
