C:\Users\Public\Documents\Novel Studio\load_data\2025-12-11\7\loadapp_2025-12-11_10-52-48-812.load
Comment s7 bvr
	-R::front	-R::mid	-R::heel	-R		PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
4.750	57.090	107.260	432.500	596.850	4.750	0.000	8.130	382.110	390.240	4.750		
4.760	64.200	115.560	453.680	633.440	4.760	0.000	0.000	322.490	322.490	4.760		
4.770	70.620	126.260	472.940	669.820	4.770	0.000	0.000	262.870	262.870	4.770		
4.780	79.180	136.960	492.200	708.340	4.780	0.000	0.000	203.250	203.250	4.780		
4.790	89.880	145.520	507.180	742.580	4.790	0.000	0.000	157.180	157.180	4.790		
4.800	98.440	158.360	515.740	772.540	4.800	0.000	0.000	115.000	115.000	4.800		
4.810	107.000	166.920	522.160	796.080	4.810	0.000	0.000	84.640	84.640	4.810		
4.820	113.420	179.760	526.440	819.620	4.820	0.000	0.000	64.860	64.860	4.820		
4.830	124.120	186.180	530.720	841.020	4.830	0.000	0.000	49.680	49.680	4.830		
4.840	128.400	190.460	535.000	853.860	4.840	0.000	0.000	39.560	39.560	4.840		
4.850	136.960	199.020	535.000	870.980	4.850	2.300	0.000	37.260	39.560	4.850		
4.860	141.240	203.300	530.720	875.260	4.860	0.000	0.000	34.960	34.960	4.860		
4.870	145.520	209.720	526.440	881.680	4.870	0.000	0.000	34.960	34.960	4.870		
4.880	151.940	209.720	515.740	877.400	4.880	0.000	0.000	34.960	34.960	4.880		
4.890	156.220	209.720	500.760	866.700	4.890	0.000	0.000	32.200	32.200	4.890		
4.900	160.500	209.720	487.920	858.140	4.900	0.000	0.000	29.900	29.900	4.900		
4.910	167.320	206.800	470.000	844.120	4.910	0.000	0.000	24.840	24.840	4.910		
4.920	171.080	204.920	451.200	827.200	4.920	0.000	0.000	19.780	19.780	4.920		
4.930	176.720	201.160	432.400	810.280	4.930	0.000	0.000	17.480	17.480	4.930		
4.940	182.360	199.280	409.840	791.480	4.940	0.000	0.000	22.080	22.080	4.940		
4.950	189.880	199.280	387.280	776.440	4.950	0.000	0.000	20.000	20.000	4.950		
4.960	197.400	197.400	360.960	755.760	4.960	0.000	0.000	20.000	20.000	4.960		
4.970	206.800	197.400	338.400	742.600	4.970	0.000	0.000	17.440	17.440	4.970		
4.980	219.960	197.400	319.600	736.960	4.980	0.000	0.000	17.440	17.440	4.980		
4.990	229.360	197.400	300.800	727.560	4.990	0.000	0.000	17.440	17.440	4.990		
5.000	240.640	199.280	283.880	723.800	5.000	0.000	0.000	17.440	17.440	5.000		
5.010	253.800	201.160	270.720	725.680	5.010	0.000	0.000	17.440	17.440	5.010		
5.020	266.960	201.160	259.440	727.560	5.020	0.000	0.000	17.440	17.440	5.020		
5.030	278.240	204.920	246.280	729.440	5.030	0.000	0.000	14.960	14.960	5.030		
5.040	291.400	208.680	236.880	736.960	5.040	0.000	0.000	14.960	14.960	5.040		
5.050	306.440	208.680	227.480	742.600	5.050	0.000	0.000	14.960	14.960	5.050		
5.060	319.680	213.840	211.680	745.200	5.060	0.000	0.000	14.960	14.960	5.060		
5.070	334.800	218.160	200.880	753.840	5.070	0.000	0.000	14.960	14.960	5.070		
5.080	345.600	222.480	187.920	756.000	5.080	0.000	0.000	12.480	12.480	5.080		
5.090	358.560	224.640	179.280	762.480	5.090	0.000	0.000	12.480	12.480	5.090		
5.100	371.520	226.800	166.320	764.640	5.100	0.000	0.000	12.460	12.460	5.100		
5.110	386.640	226.800	153.360	766.800	5.110	0.000	0.000	12.460	12.460	5.110		
5.120	401.760	228.960	138.240	768.960	5.120	0.000	0.000	14.980	14.980	5.120		
5.130	419.040	231.120	123.120	773.280	5.130	0.000	0.000	14.980	14.980	5.130		
5.140	434.160	231.120	103.680	768.960	5.140	0.000	2.450	12.460	14.910	5.140		
5.150	453.600	233.280	88.560	775.440	5.150	0.000	2.450	12.460	14.910	5.150		
5.160	473.040	233.280	71.280	777.600	5.160	0.000	2.450	12.460	14.910	5.160		
5.170	492.480	233.280	58.320	784.080	5.170	0.000	2.450	12.460	14.910	5.170		
5.180	509.760	239.760	45.360	794.880	5.180	0.000	2.450	14.980	17.430	5.180		
5.190	524.880	241.920	38.880	805.680	5.190	0.000	4.970	14.980	19.950	5.190		
5.200	540.000	241.920	32.400	814.320	5.200	0.000	2.450	14.980	17.430	5.200		
5.210	562.320	235.720	19.880	817.920	5.210	0.000	4.970	17.500	22.470	5.210		
5.220	590.720	221.520	8.520	820.760	5.220	0.000	4.970	17.500	22.470	5.220		
5.230	613.440	204.480	0.000	817.920	5.230	0.000	4.970	14.980	19.950	5.230		
5.240	639.000	187.440	0.000	826.440	5.240	2.450	4.970	14.980	22.400	5.240		
5.250	661.720	164.720	0.000	826.440	5.250	9.900	9.900	6.600	26.400	5.250		
5.260	678.760	147.680	0.000	826.440	5.260	24.750	11.550	1.650	37.950	5.260		
5.270	695.800	127.800	0.000	823.600	5.270	56.100	11.550	0.000	67.650	5.270		
5.280	707.160	110.760	0.000	817.920	5.280	99.000	11.550	1.650	112.200	5.280		
5.290	710.000	90.880	0.000	800.880	5.290	136.950	14.850	0.000	151.800	5.290		
5.300	710.000	76.680	0.000	786.680	5.300	169.950	14.850	0.000	184.800	5.300		
5.310	698.640	62.480	0.000	761.120	5.310	201.300	19.800	0.000	221.100	5.310		
5.320	681.600	48.280	0.000	729.880	5.320	234.300	24.750	0.000	259.050	5.320		
5.330	656.040	39.760	0.000	695.800	5.330	268.950	36.300	0.000	305.250	5.330		
5.340	610.600	31.240	0.000	641.840	5.340	301.950	61.050	1.650	364.650	5.340		
5.350	556.640	19.880	0.000	576.520	5.350	330.000	84.150	9.900	424.050	5.350		
5.360	495.000	11.880	0.000	506.880	5.360	349.800	108.900	16.500	475.200	5.360		
5.370	433.620	3.960	0.000	437.580	5.370	364.650	123.750	24.750	513.150	5.370		
5.380	366.300	1.980	0.000	368.280	5.380	386.100	138.600	29.700	554.400	5.380		
5.390	293.040	0.000	0.000	293.040	5.390	412.500	153.450	41.250	607.200	5.390		
5.400	223.740	0.000	0.000	223.740	5.400	444.600	171.000	52.440	668.040	5.400		
5.410	162.360	0.000	0.000	162.360	5.410	476.520	186.960	57.000	720.480	5.410		
5.420	118.800	0.000	0.000	118.800	5.420	508.440	200.640	63.840	772.920	5.420		
5.430	79.200	0.000	0.000	79.200	5.430	535.800	214.320	68.400	818.520	5.430		
5.440	45.540	0.000	0.000	45.540	5.440	556.320	223.440	75.240	855.000	5.440		
5.450	23.760	0.000	3.960	27.720	5.450	565.440	237.120	82.080	884.640	5.450		
5.460	15.840	0.000	1.980	17.820	5.460	570.000	243.960	88.920	902.880	5.460		
5.470	13.860	0.000	1.980	15.840	5.470	563.160	255.360	98.040	916.560	5.470		
5.480	11.880	0.000	1.980	13.860	5.480	551.760	259.920	107.160	918.840	5.480		
5.490	11.880	0.000	0.000	11.880	5.490	533.520	264.480	114.000	912.000	5.490		
5.500	9.900	0.000	0.000	9.900	5.500	513.000	266.760	118.560	898.320	5.500		
5.510	7.500	0.000	0.000	7.500	5.510	492.480	266.760	123.120	882.360	5.510		
5.520	7.500	0.000	0.000	7.500	5.520	462.840	264.480	132.240	859.560	5.520		
5.530	7.500	0.000	0.000	7.500	5.530	435.480	259.920	132.240	827.640	5.530		
5.540	7.500	0.000	0.000	7.500	5.540	408.120	250.800	136.800	795.720	5.540		
5.550	7.500	0.000	0.000	7.500	5.550	377.500	244.620	138.920	761.040	5.550		
5.560	4.980	0.000	0.000	4.980	5.560	348.810	237.070	138.920	724.800	5.560		
5.570	4.980	0.000	0.000	4.980	5.570	329.180	231.030	138.920	699.130	5.570		
5.580	4.980	0.000	0.000	4.980	5.580	306.530	226.500	141.940	674.970	5.580		
