C:\Users\Public\Documents\Novel Studio\load_data\2025-12-12\12\loadapp_2025-12-12_14-24-21-384.load
Comment s12bvr
	PRV263-L::heel	PRV263-L::mid	PRV263-L::front	PRV263-L		PRV264-R::front	PRV264-R::mid	PRV264-R::heel	PRV264-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	164.980	59.860	84.680	309.520	0.000	87.450	67.100	134.750	289.300	0.000		
0.010	167.170	62.050	84.680	313.900	0.010	84.700	67.100	137.500	289.300	0.010		
0.020	169.360	62.050	82.490	313.900	0.020	84.700	67.100	137.500	289.300	0.020		
0.030	172.280	62.050	82.490	316.820	0.030	84.700	67.100	137.500	289.300	0.030		
0.040	172.280	59.860	79.570	311.710	0.040	84.700	67.100	137.500	289.300	0.040		
0.050	174.470	59.860	79.570	313.900	0.050	84.700	67.100	137.500	289.300	0.050		
0.060	177.390	62.050	79.570	319.010	0.060	84.700	67.100	137.500	289.300	0.060		
0.070	179.580	59.860	77.380	316.820	0.070	84.700	67.100	134.750	286.550	0.070		
0.080	179.580	59.860	77.380	316.820	0.080	84.700	67.100	134.750	286.550	0.080		
0.090	179.580	62.050	77.380	319.010	0.090	84.700	67.100	134.750	286.550	0.090		
0.100	179.580	59.860	77.380	316.820	0.100	87.450	67.100	132.000	286.550	0.100		
0.110	182.500	62.050	77.380	321.930	0.110	87.450	67.100	132.000	286.550	0.110		
0.120	182.500	59.860	77.380	319.740	0.120	87.450	67.100	129.800	284.350	0.120		
0.130	179.580	59.860	74.460	313.900	0.130	89.650	69.850	129.800	289.300	0.130		
0.140	179.580	59.860	77.380	316.820	0.140	89.650	69.850	129.800	289.300	0.140		
0.150	179.580	59.860	77.380	316.820	0.150	92.310	69.870	127.500	289.680	0.150		
0.160	177.390	59.860	77.380	314.630	0.160	92.310	69.870	127.500	289.680	0.160		
0.170	177.390	59.860	77.380	314.630	0.170	94.860	69.870	124.950	289.680	0.170		
0.180	174.470	59.860	77.380	311.710	0.180	94.860	69.870	124.950	289.680	0.180		
0.190	174.470	59.860	77.380	311.710	0.190	97.410	69.870	122.400	289.680	0.190		
0.200	172.280	59.860	77.380	309.520	0.200	97.410	69.870	122.400	289.680	0.200		
0.210	172.280	59.860	77.380	309.520	0.210	99.960	72.420	122.400	294.780	0.210		
0.220	172.280	59.860	79.570	311.710	0.220	99.960	72.420	119.850	292.230	0.220		
0.230	172.280	59.860	77.380	309.520	0.230	102.000	72.420	119.850	294.270	0.230		
0.240	169.360	59.860	79.570	308.790	0.240	104.550	72.420	119.850	296.820	0.240		
0.250	169.360	59.860	79.570	308.790	0.250	104.550	72.420	119.850	296.820	0.250		
0.260	169.360	59.860	77.380	306.600	0.260	107.100	74.970	119.850	301.920	0.260		
0.270	167.500	59.630	77.050	304.180	0.270	107.100	74.970	119.850	301.920	0.270		
