C:\Users\Public\Documents\Novel Studio\load_data\2025-12-11\9\loadapp_2025-12-11_15-18-19-478.load
Comment s9w
	PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
3.970	0.000	211.090	522.500	733.590	3.970	0.000	11.160	226.920	238.080	3.970		
3.980	0.000	186.010	516.230	702.240	3.980	3.720	22.320	292.020	318.060	3.980		
3.990	0.000	163.020	499.510	662.530	3.990	7.440	33.480	349.680	390.600	3.990		
4.000	0.000	137.940	468.160	606.100	4.000	9.300	52.080	396.180	457.560	4.000		
4.010	0.000	117.040	428.450	545.490	4.010	14.880	68.820	433.380	517.080	4.010		
4.020	0.000	91.140	367.500	458.640	4.020	18.600	83.700	448.260	550.560	4.020		
4.030	0.000	66.150	286.650	352.800	4.030	22.320	96.720	459.420	578.460	4.030		
4.040	0.000	47.040	214.620	261.660	4.040	26.040	106.020	465.000	597.060	4.040		
4.050	0.000	29.400	144.060	173.460	4.050	32.470	114.600	469.860	616.930	4.050		
4.060	0.000	16.170	94.080	110.250	4.060	36.290	122.240	473.680	632.210	4.060		
4.070	0.000	4.410	57.330	61.740	4.070	36.290	129.880	477.500	643.670	4.070		
4.080	0.000	0.000	32.340	32.340	4.080	42.020	135.610	477.500	655.130	4.080		
4.090	0.000	0.000	16.170	16.170	4.090	45.840	143.250	477.500	666.590	4.090		
4.100	0.000	0.000	7.350	7.350	4.100	49.660	154.710	471.770	676.140	4.100		
4.110	0.000	0.000	0.000	0.000	4.110	53.480	166.170	464.130	683.780	4.110		
4.120	0.000	0.000	0.000	0.000	4.120	59.210	175.720	458.400	693.330	4.120		
4.130	0.000	0.000	0.000	0.000	4.130	64.940	183.360	448.850	697.150	4.130		
4.140	0.000	0.000	0.000	0.000	4.140	66.850	191.000	437.390	695.240	4.140		
4.150	0.000	0.000	0.000	0.000	4.150	68.760	194.820	424.020	687.600	4.150		
4.160	0.000	0.000	0.000	0.000	4.160	70.670	196.730	408.740	676.140	4.160		
4.170	0.000	0.000	0.000	0.000	4.170	74.490	198.640	393.460	666.590	4.170		
4.180	0.000	0.000	0.000	0.000	4.180	74.490	202.460	378.180	655.130	4.180		
4.190	0.000	0.000	0.000	0.000	4.190	78.310	202.460	366.720	647.490	4.190		
4.200	0.000	0.000	0.000	0.000	4.200	81.780	201.630	352.500	635.910	4.200		
4.210	0.000	0.000	0.000	0.000	4.210	84.600	201.630	336.990	623.220	4.210		
4.220	0.000	0.000	0.000	0.000	4.220	88.830	204.450	324.300	617.580	4.220		
4.230	0.000	0.000	0.000	0.000	4.230	94.470	204.450	314.430	613.350	4.230		
4.240	0.000	0.000	0.000	0.000	4.240	98.700	207.270	301.740	607.710	4.240		
4.250	0.000	0.000	0.000	0.000	4.250	104.340	208.680	291.870	604.890	4.250		
4.260	0.000	0.000	0.000	0.000	4.260	109.980	211.500	282.000	603.480	4.260		
4.270	0.000	0.000	0.000	0.000	4.270	114.210	217.140	272.130	603.480	4.270		
4.280	0.000	0.000	0.000	0.000	4.280	121.260	219.960	263.670	604.890	4.280		
4.290	0.000	0.000	0.000	0.000	4.290	126.900	224.190	256.620	607.710	4.290		
4.300	0.000	0.000	0.000	0.000	4.300	133.950	229.830	249.570	613.350	4.300		
4.310	0.000	0.000	0.000	0.000	4.310	142.410	236.880	241.110	620.400	4.310		
4.320	0.000	0.000	0.000	0.000	4.320	149.460	241.110	231.240	621.810	4.320		
4.330	0.000	0.000	0.000	0.000	4.330	153.690	246.750	221.370	621.810	4.330		
4.340	0.000	0.000	0.000	0.000	4.340	164.970	253.800	211.500	630.270	4.340		
4.350	0.000	0.000	0.000	0.000	4.350	174.300	258.960	199.200	632.460	4.350		
4.360	0.000	0.000	2.500	2.500	4.360	184.260	263.940	189.240	637.440	4.360		
4.370	0.000	0.000	0.000	0.000	4.370	190.900	268.920	175.960	635.780	4.370		
4.380	0.000	0.000	0.000	0.000	4.380	204.180	273.900	169.320	647.400	4.380		
4.390	0.000	0.000	0.000	0.000	4.390	214.140	278.880	156.040	649.060	4.390		
4.400	0.000	0.000	0.000	0.000	4.400	224.100	287.180	146.080	657.360	4.400		
4.410	0.000	0.000	0.000	0.000	4.410	237.380	293.820	134.460	665.660	4.410		
4.420	0.000	0.000	0.000	0.000	4.420	253.980	303.780	121.180	678.940	4.420		
4.430	0.000	2.500	0.000	2.500	4.430	272.240	312.080	106.240	690.560	4.430		
4.440	0.000	2.500	2.500	5.000	4.440	292.160	317.060	91.300	700.520	4.440		
4.450	0.000	2.500	0.000	2.500	4.450	313.740	318.720	74.700	707.160	4.450		
4.460	0.000	2.500	0.000	2.500	4.460	338.640	318.720	59.760	717.120	4.460		
4.470	0.000	4.470	1.490	5.960	4.470	363.540	317.060	46.480	727.080	4.470		
4.480	0.000	1.490	0.000	1.490	4.480	386.780	307.100	36.520	730.400	4.480		
4.490	0.000	1.490	0.000	1.490	4.490	415.000	297.140	26.560	738.700	4.490		
4.500	0.000	4.470	1.490	5.960	4.500	444.600	278.160	13.680	736.440	4.500		
4.510	0.000	4.470	1.490	5.960	4.510	474.240	255.360	4.560	734.160	4.510		
4.520	0.000	4.470	1.490	5.960	4.520	497.040	241.680	0.000	738.720	4.520		
4.530	0.000	1.490	0.000	1.490	4.530	515.280	221.160	0.000	736.440	4.530		
4.540	7.450	1.490	0.000	8.940	4.540	538.080	202.920	0.000	741.000	4.540		
4.550	37.250	4.470	0.000	41.720	4.550	554.040	184.680	0.000	738.720	4.550		
4.560	71.520	1.490	0.000	73.010	4.560	563.160	166.440	0.000	729.600	4.560		
4.570	116.220	1.490	0.000	117.710	4.570	570.000	145.920	0.000	715.920	4.570		
4.580	159.430	1.490	0.000	160.920	4.580	570.000	129.960	0.000	699.960	4.580		
4.590	214.560	4.470	0.000	219.030	4.590	560.880	111.720	0.000	672.600	4.590		
