C:\Users\Public\Documents\Novel Studio\load_data\2025-12-11\9\loadapp_2025-12-11_15-33-42-139.load
Comment S9 vh2
	PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
3.880	259.200	104.760	54.000	417.960	3.880	37.130	71.890	194.340	303.360	3.880		
3.890	249.480	104.760	57.240	411.480	3.890	37.130	74.260	194.340	305.730	3.890		
3.900	241.920	104.760	59.400	406.080	3.900	37.130	74.260	197.500	308.890	3.900		
3.910	234.360	104.760	59.400	398.520	3.910	39.200	74.480	199.920	313.600	3.910		
3.920	224.640	106.920	61.560	393.120	3.920	39.200	79.380	201.880	320.460	3.920		
3.930	211.680	106.920	64.800	383.400	3.930	39.200	82.320	206.780	328.300	3.930		
3.940	201.960	106.920	69.120	378.000	3.940	44.100	87.220	209.720	341.040	3.940		
3.950	189.000	106.920	72.360	368.280	3.950	47.040	89.180	211.680	347.900	3.950		
3.960	177.120	106.920	74.520	358.560	3.960	49.980	94.080	216.580	360.640	3.960		
3.970	159.840	104.760	76.680	341.280	3.970	56.840	101.920	216.580	375.340	3.970		
3.980	141.480	101.520	82.080	325.080	3.980	59.780	109.760	219.520	389.060	3.980		
3.990	122.040	97.200	87.480	306.720	3.990	64.680	116.620	224.420	405.720	3.990		
4.000	104.760	93.960	89.640	288.360	4.000	66.640	124.460	227.360	418.460	4.000		
4.010	84.600	87.300	92.250	264.150	4.010	74.480	132.300	229.320	436.100	4.010		
4.020	64.800	77.400	97.200	239.400	4.020	79.380	142.100	234.220	455.700	4.020		
4.030	52.200	69.750	104.850	226.800	4.030	87.220	151.900	237.160	476.280	4.030		
4.040	47.250	59.850	107.100	214.200	4.040	92.120	161.700	239.120	492.940	4.040		
4.050	39.600	52.200	112.500	204.300	4.050	101.920	174.440	245.000	521.360	4.050		
4.060	37.350	42.300	112.500	192.150	4.060	108.900	192.390	244.420	545.710	4.060		
4.070	34.650	34.650	107.100	176.400	4.070	119.790	209.330	244.420	573.540	4.070		
4.080	29.700	29.700	102.150	161.550	4.080	134.310	227.480	237.160	598.950	4.080		
4.090	24.750	19.800	92.250	136.800	4.090	148.830	244.420	227.480	620.730	4.090		
