timestamp, HMD_x, HMD_y,HMD_z
492.025,10,-39.3477,1.6842,-1.3661
492.034,10,-39.3483,1.6829,-1.3674
492.045,10,-39.3489,1.6816,-1.3687
492.057,10,-39.3494,1.6806,-1.3698
492.068,10,-39.3499,1.6797,-1.3709
492.080,10,-39.3503,1.6789,-1.3720
492.090,10,-39.3507,1.6785,-1.3730
492.102,10,-39.3511,1.6782,-1.3739
492.112,10,-39.3518,1.6782,-1.3746
492.123,10,-39.3524,1.6783,-1.3754
492.134,10,-39.3531,1.6786,-1.3760
492.145,10,-39.3536,1.6791,-1.3765
492.157,10,-39.3541,1.6799,-1.3770
492.167,10,-39.3547,1.6808,-1.3775
492.179,10,-39.3553,1.6818,-1.3778
492.190,10,-39.3559,1.6831,-1.3781
492.201,10,-39.3566,1.6844,-1.3784
492.212,10,-39.3572,1.6859,-1.3786
492.223,10,-39.3579,1.6876,-1.3785
492.234,10,-39.3585,1.6892,-1.3785
492.245,10,-39.3592,1.6912,-1.3784
492.256,10,-39.3597,1.6932,-1.3783
492.267,10,-39.3602,1.6954,-1.3780
492.278,10,-39.3607,1.6977,-1.3775
492.290,10,-39.3611,1.6999,-1.3772
492.301,10,-39.3616,1.7022,-1.3766
492.312,10,-39.3620,1.7045,-1.3760
492.323,10,-39.3625,1.7069,-1.3753
492.334,10,-39.3627,1.7093,-1.3746
492.346,10,-39.3631,1.7118,-1.3737
492.356,10,-39.3634,1.7144,-1.3728
492.368,10,-39.3636,1.7170,-1.3719
492.379,10,-39.3638,1.7196,-1.3708
492.390,10,-39.3639,1.7221,-1.3697
492.401,10,-39.3640,1.7247,-1.3686
492.412,10,-39.3642,1.7274,-1.3674
492.424,10,-39.3642,1.7300,-1.3661
492.435,10,-39.3642,1.7326,-1.3648
492.446,10,-39.3643,1.7352,-1.3634
492.458,10,-39.3643,1.7378,-1.3619
492.469,10,-39.3642,1.7403,-1.3604
492.480,10,-39.3640,1.7425,-1.3589
492.491,10,-39.3638,1.7447,-1.3574
492.502,10,-39.3635,1.7467,-1.3558
492.514,10,-39.3631,1.7487,-1.3543
492.525,10,-39.3626,1.7505,-1.3527
492.536,10,-39.3623,1.7522,-1.3511
492.547,10,-39.3618,1.7537,-1.3495
492.558,10,-39.3614,1.7549,-1.3478
492.569,10,-39.3607,1.7559,-1.3460
492.580,10,-39.3600,1.7568,-1.3443
492.591,10,-39.3593,1.7576,-1.3424
492.602,10,-39.3584,1.7582,-1.3405
492.613,10,-39.3574,1.7586,-1.3385
492.624,10,-39.3565,1.7589,-1.3365
492.635,10,-39.3555,1.7591,-1.3345
492.647,10,-39.3542,1.7591,-1.3324
492.657,10,-39.3530,1.7592,-1.3303
492.668,10,-39.3516,1.7591,-1.3283
492.680,10,-39.3500,1.7591,-1.3261
492.691,10,-39.3483,1.7589,-1.3239
492.702,10,-39.3467,1.7588,-1.3218
492.714,10,-39.3448,1.7586,-1.3196
492.724,10,-39.3431,1.7585,-1.3176
492.736,10,-39.3412,1.7584,-1.3155
492.747,10,-39.3392,1.7582,-1.3134
492.758,10,-39.3372,1.7581,-1.3114
492.768,10,-39.3350,1.7580,-1.3094
492.780,10,-39.3329,1.7580,-1.3074
492.791,10,-39.3307,1.7580,-1.3054
492.802,10,-39.3284,1.7581,-1.3033
492.813,10,-39.3260,1.7581,-1.3013
492.824,10,-39.3235,1.7582,-1.2993
492.835,10,-39.3210,1.7582,-1.2972
492.846,10,-39.3183,1.7581,-1.2950
492.857,10,-39.3157,1.7579,-1.2929
492.868,10,-39.3131,1.7578,-1.2907
492.879,10,-39.3103,1.7577,-1.2885
492.891,10,-39.3076,1.7576,-1.2864
492.902,10,-39.3047,1.7575,-1.2842
492.913,10,-39.3016,1.7574,-1.2821
492.924,10,-39.2984,1.7575,-1.2800
492.935,10,-39.2953,1.7577,-1.2779
492.946,10,-39.2921,1.7580,-1.2758
492.957,10,-39.2888,1.7581,-1.2738
492.969,10,-39.2854,1.7580,-1.2718
492.979,10,-39.2821,1.7580,-1.2698
492.990,10,-39.2788,1.7578,-1.2677
493.001,10,-39.2754,1.7576,-1.2657
493.013,10,-39.2719,1.7574,-1.2638
493.024,10,-39.2682,1.7573,-1.2619
493.035,10,-39.2646,1.7574,-1.2600
493.046,10,-39.2610,1.7574,-1.2582
493.057,10,-39.2573,1.7574,-1.2565
493.068,10,-39.2538,1.7573,-1.2548
493.079,10,-39.2498,1.7573,-1.2532
493.090,10,-39.2460,1.7571,-1.2515
493.102,10,-39.2420,1.7569,-1.2500
493.113,10,-39.2382,1.7566,-1.2484
493.124,10,-39.2343,1.7562,-1.2469
493.135,10,-39.2303,1.7559,-1.2454
493.146,10,-39.2264,1.7555,-1.2440
