C:\Users\Public\Documents\Novel Studio\load_data\2025-12-16\19\loadapp_2025-12-16_15-27-08-059.load
Comment müll
	PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
10.490	194.340	104.280	104.280	402.900	10.490	94.720	87.320	176.860	358.900	10.490		
10.500	194.340	104.280	104.280	402.900	10.500	94.430	87.330	177.500	359.260	10.500		
10.510	194.340	107.440	104.280	406.060	10.510	94.430	87.330	177.500	359.260	10.510		
10.520	194.340	107.440	107.440	409.220	10.520	94.430	87.330	177.500	359.260	10.520		
10.530	194.340	104.280	107.440	406.060	10.530	94.430	87.330	177.500	359.260	10.530		
10.540	194.340	107.440	107.440	409.220	10.540	94.430	87.330	177.500	359.260	10.540		
10.550	194.340	107.440	104.280	406.060	10.550	94.430	87.330	177.500	359.260	10.550		
10.560	194.340	107.440	104.280	406.060	10.560	94.430	87.330	177.500	359.260	10.560		
10.570	194.340	107.440	107.440	409.220	10.570	94.430	87.330	177.500	359.260	10.570		
10.580	194.340	107.440	107.440	409.220	10.580	94.430	87.330	174.660	356.420	10.580		
10.590	197.500	109.810	107.440	414.750	10.590	94.430	87.330	177.500	359.260	10.590		
10.600	197.500	109.810	107.440	414.750	10.600	94.430	87.330	177.500	359.260	10.600		
10.610	197.500	107.440	107.440	412.380	10.610	94.430	87.330	174.660	356.420	10.610		
10.620	194.340	107.440	107.440	409.220	10.620	94.430	84.490	174.660	353.580	10.620		
10.630	197.500	107.440	107.440	412.380	10.630	94.430	84.490	174.660	353.580	10.630		
10.640	196.800	109.600	107.200	413.600	10.640	92.300	84.490	174.660	351.450	10.640		
10.650	196.800	109.600	107.200	413.600	10.650	94.500	87.500	175.000	357.000	10.650		
10.660	196.800	109.600	107.200	413.600	10.660	94.500	84.700	175.000	354.200	10.660		
10.670	196.800	109.600	107.200	413.600	10.670	94.500	84.700	175.000	354.200	10.670		
10.680	196.800	109.600	107.200	413.600	10.680	94.500	84.700	172.200	351.400	10.680		
10.690	196.800	109.600	107.200	413.600	10.690	94.500	87.500	172.200	354.200	10.690		
10.700	200.000	109.600	107.200	416.800	10.700	94.500	84.700	172.200	351.400	10.700		
