C:\Users\Public\Documents\Novel Studio\load_data\2025-12-16\19\loadapp_2025-12-16_15-37-44-453.load
Comment s19h crashed 7
	PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
5.150	0.000	0.000	0.000	0.000	5.150	314.160	134.640	34.680	483.480	5.150		
5.160	0.000	0.000	0.000	0.000	5.160	322.320	138.720	34.680	495.720	5.160		
5.170	0.000	0.000	0.000	0.000	5.170	330.480	144.840	36.720	512.040	5.170		
5.180	0.000	0.000	0.000	0.000	5.180	346.800	148.920	36.720	532.440	5.180		
5.190	0.000	0.000	0.000	0.000	5.190	361.080	157.080	36.720	554.880	5.190		
5.200	0.000	0.000	0.000	0.000	5.200	379.440	161.160	36.720	577.320	5.200		
5.210	0.000	0.000	0.000	0.000	5.210	401.880	169.320	36.720	607.920	5.210		
5.220	0.000	0.000	0.000	0.000	5.220	424.320	173.400	34.680	632.400	5.220		
5.230	0.000	0.000	0.000	0.000	5.230	450.840	181.560	34.680	667.080	5.230		
5.240	0.000	0.000	0.000	0.000	5.240	479.400	181.560	28.560	689.520	5.240		
5.250	0.000	0.000	0.000	0.000	5.250	510.000	179.520	22.440	711.960	5.250		
5.260	0.000	0.000	0.000	0.000	5.260	541.440	169.200	14.100	724.740	5.260		
5.270	0.000	0.000	1.940	1.940	5.270	572.460	157.920	5.640	736.020	5.270		
5.280	0.000	0.000	1.940	1.940	5.280	603.480	146.640	2.820	752.940	5.280		
5.290	0.000	0.000	0.000	0.000	5.290	631.680	129.720	0.000	761.400	5.290		
5.300	17.460	0.000	0.000	17.460	5.300	657.060	109.980	0.000	767.040	5.300		
5.310	74.690	0.000	0.000	74.690	5.310	673.980	95.880	0.000	769.860	5.310		
5.320	131.920	0.000	0.000	131.920	5.320	693.720	78.960	0.000	772.680	5.320		
5.330	161.990	0.000	0.000	161.990	5.330	705.000	64.860	0.000	769.860	5.330		
5.340	184.300	0.000	0.000	184.300	5.340	705.000	50.760	0.000	755.760	5.340		
5.350	219.220	4.850	0.000	224.070	5.350	702.180	42.300	0.000	744.480	5.350		
5.360	242.500	4.850	1.940	249.290	5.360	690.900	33.840	0.000	724.740	5.360		
5.370	264.690	8.650	3.460	276.800	5.370	673.980	25.380	0.000	699.360	5.370		
5.380	283.720	22.490	8.650	314.860	5.380	648.600	19.740	0.000	668.340	5.380		
5.390	299.290	44.980	19.030	363.300	5.390	611.940	14.100	0.000	626.040	5.390		
5.400	309.670	62.280	31.140	403.090	5.400	555.540	8.460	0.000	564.000	5.400		
5.410	318.320	79.580	44.980	442.880	5.410	482.500	3.860	0.000	486.360	5.410		
5.420	337.350	96.880	62.280	496.510	5.420	386.000	1.930	0.000	387.930	5.420		
5.430	361.570	114.180	76.120	551.870	5.430	289.500	0.000	0.000	289.500	5.430		
5.440	384.060	129.750	89.960	603.770	5.440	191.070	0.000	0.000	191.070	5.440		
5.450	401.360	147.050	102.070	650.480	5.450	119.660	0.000	0.000	119.660	5.450		
5.460	411.740	157.430	114.180	683.350	5.460	71.410	0.000	0.000	71.410	5.460		
