C:\Users\Public\Documents\Novel Studio\load_data\2025-12-12\11\loadapp_2025-12-12_11-54-30-563.load
Comment s11vw crashed
	PRV263-L::heel	PRV263-L::mid	PRV263-L::front	PRV263-L		PRV264-R::front	PRV264-R::mid	PRV264-R::heel	PRV264-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
2.690	325.000	111.800	101.400	538.200	2.690	0.000	2.400	0.000	2.400	2.690		
2.700	326.960	113.900	99.160	540.020	2.700	0.000	2.500	0.000	2.500	2.700		
2.710	332.320	116.580	101.840	550.740	2.710	0.000	2.500	0.000	2.500	2.710		
2.720	332.320	121.940	104.520	558.780	2.720	0.000	2.500	0.000	2.500	2.720		
2.730	335.000	124.620	104.520	564.140	2.730	0.000	2.500	0.000	2.500	2.730		
2.740	332.320	124.620	107.200	564.140	2.740	0.000	2.500	0.000	2.500	2.740		
2.750	326.960	127.300	109.880	564.140	2.750	0.000	2.500	0.000	2.500	2.750		
2.760	324.280	127.300	109.880	561.460	2.760	0.000	2.500	0.000	2.500	2.760		
2.770	316.240	127.300	111.220	554.760	2.770	0.000	2.500	0.000	2.500	2.770		
2.780	312.220	127.300	113.900	553.420	2.780	0.000	2.500	0.000	2.500	2.780		
2.790	306.860	127.300	113.900	548.060	2.790	0.000	2.500	0.000	2.500	2.790		
2.800	301.500	127.300	119.260	548.060	2.800	0.000	2.500	2.500	5.000	2.800		
2.810	297.480	124.620	119.260	541.360	2.810	0.000	0.000	2.500	2.500	2.810		
2.820	292.120	124.620	119.260	536.000	2.820	0.000	0.000	2.500	2.500	2.820		
2.830	286.760	124.620	121.940	533.320	2.830	0.000	2.500	2.500	5.000	2.830		
2.840	281.400	124.620	124.620	530.640	2.840	0.000	0.000	2.500	2.500	2.840		
2.850	277.500	124.320	124.320	526.140	2.850	0.000	2.490	4.980	7.470	2.850		
2.860	274.170	122.100	126.540	522.810	2.860	0.000	0.000	4.980	4.980	2.860		
2.870	266.400	122.100	129.870	518.370	2.870	0.000	2.490	4.980	7.470	2.870		
2.880	261.960	122.100	129.870	513.930	2.880	0.000	2.490	7.500	9.990	2.880		
2.890	256.410	124.320	132.090	512.820	2.890	0.000	0.000	7.500	7.500	2.890		
2.900	251.970	122.100	132.090	506.160	2.900	0.000	0.000	7.500	7.500	2.900		
2.910	249.750	124.320	134.310	508.380	2.910	0.000	0.000	7.500	7.500	2.910		
2.920	246.420	122.100	134.310	502.830	2.920	0.000	2.490	7.500	9.990	2.920		
2.930	244.200	124.320	134.310	502.830	2.930	0.000	2.490	7.500	9.990	2.930		
2.940	241.980	126.540	134.310	502.830	2.940	0.000	2.490	7.500	9.990	2.940		
2.950	239.760	129.870	136.530	506.160	2.950	0.000	0.000	7.500	7.500	2.950		
2.960	239.760	129.870	136.530	506.160	2.960	0.000	2.490	7.500	9.990	2.960		
2.970	236.430	134.310	139.860	510.600	2.970	0.000	0.000	4.980	4.980	2.970		
2.980	236.430	139.860	136.530	512.820	2.980	0.000	0.000	2.490	2.490	2.980		
2.990	236.430	144.300	139.860	520.590	2.990	0.000	0.000	2.490	2.490	2.990		
3.000	236.610	149.490	139.590	525.690	3.000	0.000	9.100	41.860	50.960	3.000		
3.010	239.580	154.440	139.590	533.610	3.010	37.310	59.150	227.500	323.960	3.010		
3.020	241.560	159.390	141.570	542.520	3.020	14.560	37.310	182.000	233.870	3.020		
3.030	247.500	164.340	141.570	553.410	3.030	7.280	29.120	157.430	193.830	3.030		
3.040	247.500	169.290	141.570	558.360	3.040	7.280	29.120	144.690	181.090	3.040		
3.050	231.660	164.340	136.620	532.620	3.050	11.830	27.300	119.210	158.340	3.050		
3.060	216.810	159.390	131.670	507.870	3.060	9.100	21.840	89.180	120.120	3.060		
3.070	206.910	157.410	126.720	491.040	3.070	7.280	17.290	69.160	93.730	3.070		
3.080	201.960	152.460	126.720	481.140	3.080	7.280	14.560	51.870	73.710	3.080		
3.090	194.040	149.490	121.770	465.300	3.090	4.550	14.560	41.860	60.970	3.090		
3.100	187.110	144.540	116.820	448.470	3.100	1.820	11.830	31.850	45.500	3.100		
3.110	182.160	141.570	114.840	438.570	3.110	0.000	9.100	27.300	36.400	3.110		
3.120	179.190	139.590	114.840	433.620	3.120	0.000	9.100	24.570	33.670	3.120		
3.130	177.210	139.590	111.870	428.670	3.130	0.000	9.100	21.840	30.940	3.130		
3.140	177.210	136.620	109.890	423.720	3.140	0.000	9.100	21.840	30.940	3.140		
3.150	179.490	139.500	109.740	428.730	3.150	0.000	9.800	24.920	34.720	3.150		
