timestamp, HMD_x, HMD_y,HMD_z
154.801,10,-39.0931,1.7668,-1.3535
154.813,10,-39.0845,1.7672,-1.3505
154.823,10,-39.0757,1.7679,-1.3476
154.835,10,-39.0671,1.7686,-1.3445
154.846,10,-39.0582,1.7699,-1.3415
154.857,10,-39.0493,1.7717,-1.3385
154.868,10,-39.0403,1.7739,-1.3356
154.879,10,-39.0314,1.7763,-1.3327
154.890,10,-39.0225,1.7785,-1.3298
154.902,10,-39.0138,1.7804,-1.3271
154.912,10,-39.0052,1.7823,-1.3242
154.924,10,-38.9965,1.7841,-1.3217
154.935,10,-38.9879,1.7858,-1.3193
154.946,10,-38.9793,1.7874,-1.3172
154.958,10,-38.9707,1.7888,-1.3152
154.971,10,-38.9619,1.7904,-1.3135
154.980,10,-38.9530,1.7921,-1.3117
154.990,10,-38.9444,1.7939,-1.3100
155.002,10,-38.9356,1.7958,-1.3087
155.013,10,-38.9268,1.7978,-1.3075
155.024,10,-38.9181,1.7997,-1.3064
155.035,10,-38.9090,1.8015,-1.3056
155.046,10,-38.9002,1.8031,-1.3046
155.057,10,-38.8912,1.8045,-1.3038
155.069,10,-38.8824,1.8059,-1.3029
155.080,10,-38.8734,1.8070,-1.3023
155.100,10,-38.8646,1.8075,-1.3020
155.112,10,-38.8467,1.8088,-1.3012
155.133,10,-38.8287,1.8087,-1.3006
155.143,10,-38.8195,1.8085,-1.3002
155.157,10,-38.8106,1.8076,-1.3000
155.168,10,-38.8016,1.8069,-1.3000
155.179,10,-38.7924,1.8061,-1.3000
155.190,10,-38.7830,1.8052,-1.3001
155.202,10,-38.7735,1.8041,-1.3002
155.213,10,-38.7639,1.8029,-1.3004
155.224,10,-38.7543,1.8013,-1.3004
155.236,10,-38.7445,1.7996,-1.3008
155.246,10,-38.7346,1.7979,-1.3012
155.257,10,-38.7247,1.7960,-1.3017
155.268,10,-38.7147,1.7940,-1.3025
155.279,10,-38.7048,1.7919,-1.3033
155.291,10,-38.6950,1.7894,-1.3041
155.301,10,-38.6849,1.7871,-1.3051
155.312,10,-38.6750,1.7848,-1.3059
155.323,10,-38.6645,1.7825,-1.3071
155.335,10,-38.6543,1.7802,-1.3085
155.345,10,-38.6439,1.7780,-1.3101
155.357,10,-38.6334,1.7759,-1.3118
155.368,10,-38.6231,1.7742,-1.3135
155.379,10,-38.6125,1.7731,-1.3154
155.390,10,-38.6020,1.7725,-1.3175
155.402,10,-38.5912,1.7720,-1.3197
155.413,10,-38.5805,1.7715,-1.3221
155.423,10,-38.5694,1.7711,-1.3246
155.435,10,-38.5586,1.7709,-1.3271
155.446,10,-38.5478,1.7717,-1.3296
155.457,10,-38.5369,1.7736,-1.3321
155.468,10,-38.5264,1.7757,-1.3346
155.479,10,-38.5157,1.7781,-1.3372
155.490,10,-38.5051,1.7804,-1.3395
155.502,10,-38.4944,1.7832,-1.3418
155.513,10,-38.4839,1.7862,-1.3441
155.524,10,-38.4736,1.7889,-1.3461
155.535,10,-38.4634,1.7916,-1.3480
155.546,10,-38.4535,1.7938,-1.3496
155.557,10,-38.4434,1.7953,-1.3511
155.568,10,-38.4335,1.7966,-1.3525
155.580,10,-38.4235,1.7976,-1.3533
155.591,10,-38.4136,1.7993,-1.3542
155.602,10,-38.4036,1.8012,-1.3550
155.613,10,-38.3938,1.8036,-1.3555
155.625,10,-38.3841,1.8058,-1.3559
155.636,10,-38.3742,1.8078,-1.3564
155.647,10,-38.3644,1.8097,-1.3566
155.657,10,-38.3545,1.8116,-1.3568
155.669,10,-38.3446,1.8133,-1.3568
155.679,10,-38.3347,1.8149,-1.3568
155.691,10,-38.3248,1.8161,-1.3566
155.702,10,-38.3150,1.8172,-1.3565
